国家,Zone,Shipping Class,计算方式,条件范围,运费,Currency,
Luxembourg,Zone A,heavy-tools,每增加基础计费,>2000,13.53+ceil((重量-2000)/10)*1.24,USD,
Lithuania,Zone A,heavy-tools,重量,<2000,16.32 ,USD,
Lithuania,Zone A,heavy-tools,每增加基础计费,>2000,16.32+ceil((重量-2000)/10)*0.85,USD,
Latvia,Zone A,heavy-tools,重量,<2000,16.32 ,USD,
Latvia,Zone A,heavy-tools,每增加基础计费,>2000,16.32+ceil((重量-2000)/10)*0.85,USD,
Japan,Zone A,heavy-tools,重量,<2000,12.65 ,USD,
Japan,Zone A,heavy-tools,每增加基础计费,>2000,12.65+ceil((重量-2000)/10)*0.84,USD,
Italy,Zone A,heavy-tools,重量,<2000,14.85 ,USD,
Italy,Zone A,heavy-tools,每增加基础计费,>2000,14.85+ceil((重量-2000)/10)*1.03,USD,
Ireland,Zone A,heavy-tools,重量,<2000,14.85 ,USD,
Ireland,Zone A,heavy-tools,每增加基础计费,>2000,14.85+ceil((重量-2000)/10)*0.84,USD,
Hungary,Zone A,heavy-tools,重量,<2000,15.88 ,USD,
Hungary,Zone A,heavy-tools,每增加基础计费,>2000,15.88+ceil((重量-2000)/10)*0.88,USD,
Greece,Zone A,heavy-tools,重量,<2000,16.03 ,USD,
Greece,Zone A,heavy-tools,每增加基础计费,>2000,16.03+ceil((重量-2000)/10)*1.07,USD,
Germany,Zone A,heavy-tools,重量,<2000,13.97 ,USD,
Germany,Zone A,heavy-tools,每增加基础计费,>2000,13.97+ceil((重量-2000)/10)*1.18,USD,
France,Zone A,heavy-tools,重量,<2000,11.76 ,USD,
France,Zone A,heavy-tools,每增加基础计费,>2000,11.76+ceil((重量-2000)/10)*1.1,USD,
Finland,Zone A,heavy-tools,重量,<2000,19.26 ,USD,
Finland,Zone A,heavy-tools,每增加基础计费,>2000,19.26+ceil((重量-2000)/10)*1.31,USD,
Estonia,Zone A,heavy-tools,重量,<2000,15.74 ,USD,
Estonia,Zone A,heavy-tools,每增加基础计费,>2000,15.74+ceil((重量-2000)/10)*0.85,USD,
Denmark,Zone A,heavy-tools,重量,<2000,16.91 ,USD,
Denmark,Zone A,heavy-tools,每增加基础计费,>2000,16.91+ceil((重量-2000)/10)*0.96,USD,
Czech Republic,Zone A,heavy-tools,重量,<2000,15.00 ,USD,
Czech Republic,Zone A,heavy-tools,每增加基础计费,>2000,15.00+ceil((重量-2000)/10)*0.85,USD,
Cyprus,Zone A,heavy-tools,重量,<2000,19.85 ,USD,
Cyprus,Zone A,heavy-tools,每增加基础计费,>2000,19.85+ceil((重量-2000)/10)*1.09,USD,
Croatia,Zone A,heavy-tools,重量,<2000,14.85 ,USD,
Croatia,Zone A,heavy-tools,每增加基础计费,>2000,14.85+ceil((重量-2000)/10)*1.03,USD,
Canada,Zone A,heavy-tools,重量,<2000,17.21 ,USD,
Canada,Zone A,heavy-tools,每增加基础计费,>2000,17.21+ceil((重量-2000)/10)*1.96,USD,
Belgium,Zone A,heavy-tools,重量,<2000,13.68 ,USD,
Belgium,Zone A,heavy-tools,每增加基础计费,>2000,13.68+ceil((重量-2000)/10)*0.81,USD,
Austria,Zone A,heavy-tools,重量,<2000,12.79 ,USD,
Austria,Zone A,heavy-tools,每增加基础计费,>2000,12.79+ceil((重量-2000)/10)*0.93,USD,
Australia,Zone A,heavy-tools,重量,<2000,15.44 ,USD,
Australia,Zone A,heavy-tools,每增加基础计费,>2000,15.44+ceil((重量-2000)/10)*1.88,USD,
Switzerland,Zone A,heavy-tools,重量,<2000,18.09 ,USD,
Switzerland,Zone A,heavy-tools,每增加基础计费,>2000,18.09+ceil((重量-2000)/10)*2.15,USD,
Puerto Rico,Zone A,heavy-tools,重量,<2000,15.29 ,USD,
Puerto Rico,Zone A,heavy-tools,每增加基础计费,>2000,15.29+ceil((重量-2000)/10)*1.74,USD,
Norway,Zone A,heavy-tools,重量,<2000,16.47 ,USD,
Norway,Zone A,heavy-tools,每增加基础计费,>2000,16.47+ceil((重量-2000)/10)*2.15,USD,
New Zealand,Zone A,heavy-tools,重量,<2000,14.26 ,USD,
New Zealand,Zone A,heavy-tools,每增加基础计费,>2000,14.26+ceil((重量-2000)/10)*1.84,USD,
Macau,Zone A,heavy-tools,重量,<2000,7.35 ,USD,
Macau,Zone A,heavy-tools,每增加基础计费,>2000,7.35+ceil((重量-2000)/10)*0.69,USD,
Hong Kong,Zone A,heavy-tools,重量,<2000,6.03 ,USD,
Hong Kong,Zone A,heavy-tools,每增加基础计费,>2000,6.03+ceil((重量-2000)/10)*0.69,USD,
Taiwan,Zone A,heavy-tools,重量,<2000,7.35 ,USD,
Taiwan,Zone A,heavy-tools,每增加基础计费,>2000,7.35+ceil((重量-2000)/10)*0.75,USD,
Vietnam,Zone B1,heavy-tools,金额,<300,1.91 ,USD,
Uruguay,Zone B1,heavy-tools,金额,<300,5.74 ,USD,
UAE,Zone B1,heavy-tools,金额,<300,5.15 ,USD,
Turkey,Zone B1,heavy-tools,金额,<300,4.71 ,USD,
Thailand,Zone B1,heavy-tools,金额,<300,1.76 ,USD,
Serbia,Zone B1,heavy-tools,金额,<300,6.91 ,USD,
Saudi Arabia,Zone B1,heavy-tools,金额,<300,4.56 ,USD,
Qatar,Zone B1,heavy-tools,金额,<300,4.12 ,USD,
Poland,Zone B1,heavy-tools,金额,<300,4.26 ,USD,
Panama,Zone B1,heavy-tools,金额,<300,5.59 ,USD,
Oman,Zone B1,heavy-tools,金额,<300,4.26 ,USD,
Montenegro,Zone B1,heavy-tools,金额,<300,5.74 ,USD,
Mauritius,Zone B1,heavy-tools,金额,<300,6.91 ,USD,
Malaysia,Zone B1,heavy-tools,金额,<300,2.79 ,USD,
Kuwait,Zone B1,heavy-tools,金额,<300,4.71 ,USD,
Jordan,Zone B1,heavy-tools,金额,<300,4.71 ,USD,
Israel,Zone B1,heavy-tools,金额,<300,5.74 ,USD,
Georgia,Zone B1,heavy-tools,金额,<300,4.26 ,USD,
Costa Rica,Zone B1,heavy-tools,金额,<300,7.94 ,USD,
Bulgaria,Zone B1,heavy-tools,金额,<300,4.26 ,USD,
Bahrain,Zone B1,heavy-tools,金额,<300,4.56 ,USD,
Vietnam,Zone B1,heavy-tools,重量,<2000,10.00 ,USD,
Vietnam,Zone B1,heavy-tools,每增加基础计费,>2000,10.00+ceil((重量-2000)/10)*0.68,USD,
Uruguay,Zone B1,heavy-tools,重量,<2000,15.74 ,USD,
Uruguay,Zone B1,heavy-tools,每增加基础计费,>2000,15.74+ceil((重量-2000)/10)*2.15,USD,
UAE,Zone B1,heavy-tools,重量,<2000,12.79 ,USD,
UAE,Zone B1,heavy-tools,每增加基础计费,>2000,12.79+ceil((重量-2000)/10)*0.94,USD,
Turkey,Zone B1,heavy-tools,重量,<2000,12.94 ,USD,
Turkey,Zone B1,heavy-tools,每增加基础计费,>2000,12.94+ceil((重量-2000)/10)*1.34,USD,
Thailand,Zone B1,heavy-tools,重量,<2000,12.94 ,USD,
Thailand,Zone B1,heavy-tools,每增加基础计费,>2000,12.94+ceil((重量-2000)/10)*0.82,USD,
Serbia,Zone B1,heavy-tools,重量,<2000,20.44 ,USD,
Serbia,Zone B1,heavy-tools,每增加基础计费,>2000,20.44+ceil((重量-2000)/10)*1.59,USD,
Saudi Arabia,Zone B1,heavy-tools,重量,<2000,12.79 ,USD,
Saudi Arabia,Zone B1,heavy-tools,每增加基础计费,>2000,12.79+ceil((重量-2000)/10)*0.94,USD,
Qatar,Zone B1,heavy-tools,重量,<2000,22.06 ,USD,
Qatar,Zone B1,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.1,USD,
Poland,Zone B1,heavy-tools,重量,<2000,13.68 ,USD,
Poland,Zone B1,heavy-tools,每增加基础计费,>2000,13.68+ceil((重量-2000)/10)*1.09,USD,
Panama,Zone B1,heavy-tools,重量,<2000,21.91 ,USD,
Panama,Zone B1,heavy-tools,每增加基础计费,>2000,21.91+ceil((重量-2000)/10)*1.62,USD,
Oman,Zone B1,heavy-tools,重量,<2000,22.06 ,USD,
Oman,Zone B1,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.13,USD,
Montenegro,Zone B1,heavy-tools,重量,<2000,14.85 ,USD,
Montenegro,Zone B1,heavy-tools,每增加基础计费,>2000,14.85+ceil((重量-2000)/10)*1.6,USD,
Mauritius,Zone B1,heavy-tools,重量,<2000,26.91 ,USD,
Mauritius,Zone B1,heavy-tools,每增加基础计费,>2000,26.91+ceil((重量-2000)/10)*1.43,USD,
Malaysia,Zone B1,heavy-tools,重量,<2000,10.00 ,USD,
Malaysia,Zone B1,heavy-tools,每增加基础计费,>2000,10.00+ceil((重量-2000)/10)*0.75,USD,
Kuwait,Zone B1,heavy-tools,重量,<2000,22.06 ,USD,
Kuwait,Zone B1,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.1,USD,
Jordan,Zone B1,heavy-tools,重量,<2000,28.68 ,USD,
Jordan,Zone B1,heavy-tools,每增加基础计费,>2000,28.68+ceil((重量-2000)/10)*1.74,USD,
Israel,Zone B1,heavy-tools,重量,<2000,13.24 ,USD,
Israel,Zone B1,heavy-tools,每增加基础计费,>2000,13.24+ceil((重量-2000)/10)*1.21,USD,
Georgia,Zone B1,heavy-tools,重量,<2000,21.76 ,USD,
Georgia,Zone B1,heavy-tools,每增加基础计费,>2000,21.76+ceil((重量-2000)/10)*1.71,USD,
Costa Rica,Zone B1,heavy-tools,重量,<2000,22.06 ,USD,
Costa Rica,Zone B1,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.59,USD,
Bulgaria,Zone B1,heavy-tools,重量,<2000,13.68 ,USD,
Bulgaria,Zone B1,heavy-tools,每增加基础计费,>2000,13.68+ceil((重量-2000)/10)*1.09,USD,
Bahrain,Zone B1,heavy-tools,重量,<2000,22.06 ,USD,
Bahrain,Zone B1,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.1,USD,
Uzbekistan,Zone B2,heavy-tools,金额,<300,5.74 ,USD,
Tunisia,Zone B2,heavy-tools,金额,<300,4.71 ,USD,
Tajikistan,Zone B2,heavy-tools,金额,<300,1.91 ,USD,
Suriname,Zone B2,heavy-tools,金额,<300,6.47 ,USD,
Sri Lanka,Zone B2,heavy-tools,金额,<300,6.03 ,USD,
Philippines,Zone B2,heavy-tools,金额,<300,3.01 ,USD,
Paraguay,Zone B2,heavy-tools,金额,<300,6.18 ,USD,
Nicaragua,Zone B2,heavy-tools,金额,<300,5.74 ,USD,
Nepal,Zone B2,heavy-tools,金额,<300,4.71 ,USD,
Myanmar,Zone B2,heavy-tools,金额,<300,3.38 ,USD,
Morocco,Zone B2,heavy-tools,金额,<300,4.71 ,USD,
Mongolia,Zone B2,heavy-tools,金额,<300,4.56 ,USD,
Moldova,Zone B2,heavy-tools,金额,<300,4.56 ,USD,
Maldives,Zone B2,heavy-tools,金额,<300,2.57 ,USD,
Macedonia,Zone B2,heavy-tools,金额,<300,5.15 ,USD,
Lebanon,Zone B2,heavy-tools,金额,<300,4.56 ,USD,
Laos,Zone B2,heavy-tools,金额,<300,4.85 ,USD,
Kyrgyzstan,Zone B2,heavy-tools,金额,<300,1.91 ,USD,
Kazakhstan,Zone B2,heavy-tools,金额,<300,2.13 ,USD,
Indonesia,Zone B2,heavy-tools,金额,<300,3.38 ,USD,
India,Zone B2,heavy-tools,金额,<300,4.56 ,USD,
Honduras,Zone B2,heavy-tools,金额,<300,6.18 ,USD,
Guatemala,Zone B2,heavy-tools,金额,<300,7.06 ,USD,
El Salvador,Zone B2,heavy-tools,金额,<300,5.74 ,USD,
Egypt,Zone B2,heavy-tools,金额,<300,4.26 ,USD,
Ecuador,Zone B2,heavy-tools,金额,<300,6.47 ,USD,
Dominican Republic,Zone B2,heavy-tools,金额,<300,5.59 ,USD,
Colombia,Zone B2,heavy-tools,金额,<300,5.59 ,USD,
Cambodia,Zone B2,heavy-tools,金额,<300,2.57 ,USD,
Brunei Darussalam,Zone B2,heavy-tools,金额,<300,4.26 ,USD,
Bosnia And Herzegovina,Zone B2,heavy-tools,金额,<300,6.91 ,USD,
Bolivia,Zone B2,heavy-tools,金额,<300,6.47 ,USD,
Belize,Zone B2,heavy-tools,金额,<300,6.18 ,USD,
Bangladesh,Zone B2,heavy-tools,金额,<300,4.56 ,USD,
Azerbaijan,Zone B2,heavy-tools,金额,<300,4.71 ,USD,
Armenia,Zone B2,heavy-tools,金额,<300,5.15 ,USD,
Albania,Zone B2,heavy-tools,金额,<300,4.71 ,USD,
Uzbekistan,Zone B2,heavy-tools,重量,<2000,22.35 ,USD,
Uzbekistan,Zone B2,heavy-tools,每增加基础计费,>2000,22.35+ceil((重量-2000)/10)*1.34,USD,
Tunisia,Zone B2,heavy-tools,重量,<2000,37.35 ,USD,
Tunisia,Zone B2,heavy-tools,每增加基础计费,>2000,37.35+ceil((重量-2000)/10)*1.85,USD,
Tajikistan,Zone B2,heavy-tools,重量,<2000,22.35 ,USD,
Tajikistan,Zone B2,heavy-tools,每增加基础计费,>2000,22.35+ceil((重量-2000)/10)*1.34,USD,
Suriname,Zone B2,heavy-tools,重量,<2000,26.47 ,USD,
Suriname,Zone B2,heavy-tools,每增加基础计费,>2000,26.47+ceil((重量-2000)/10)*1.72,USD,
Sri Lanka,Zone B2,heavy-tools,重量,<2000,20.00 ,USD,
Sri Lanka,Zone B2,heavy-tools,每增加基础计费,>2000,20.00+ceil((重量-2000)/10)*1.74,USD,
Philippines,Zone B2,heavy-tools,重量,<2000,12.79 ,USD,
Philippines,Zone B2,heavy-tools,每增加基础计费,>2000,12.79+ceil((重量-2000)/10)*0.97,USD,
Paraguay,Zone B2,heavy-tools,重量,<2000,34.41 ,USD,
Paraguay,Zone B2,heavy-tools,每增加基础计费,>2000,34.41+ceil((重量-2000)/10)*2.18,USD,
Nicaragua,Zone B2,heavy-tools,重量,<2000,25.29 ,USD,
Nicaragua,Zone B2,heavy-tools,每增加基础计费,>2000,25.29+ceil((重量-2000)/10)*1.71,USD,
Nepal,Zone B2,heavy-tools,重量,<2000,28.68 ,USD,
Nepal,Zone B2,heavy-tools,每增加基础计费,>2000,28.68+ceil((重量-2000)/10)*1.21,USD,
Myanmar,Zone B2,heavy-tools,重量,<2000,15.29 ,USD,
Myanmar,Zone B2,heavy-tools,每增加基础计费,>2000,15.29+ceil((重量-2000)/10)*1.24,USD,
Morocco,Zone B2,heavy-tools,重量,<2000,22.06 ,USD,
Morocco,Zone B2,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.62,USD,
Mongolia,Zone B2,heavy-tools,重量,<2000,20.88 ,USD,
Mongolia,Zone B2,heavy-tools,每增加基础计费,>2000,20.88+ceil((重量-2000)/10)*2.37,USD,
Moldova,Zone B2,heavy-tools,重量,<2000,22.65 ,USD,
Moldova,Zone B2,heavy-tools,每增加基础计费,>2000,22.65+ceil((重量-2000)/10)*1.24,USD,
Maldives,Zone B2,heavy-tools,重量,<2000,15.00 ,USD,
Maldives,Zone B2,heavy-tools,每增加基础计费,>2000,15.00+ceil((重量-2000)/10)*1.43,USD,
Macedonia,Zone B2,heavy-tools,重量,<2000,19.26 ,USD,
Macedonia,Zone B2,heavy-tools,每增加基础计费,>2000,19.26+ceil((重量-2000)/10)*1.37,USD,
Lebanon,Zone B2,heavy-tools,重量,<2000,22.06 ,USD,
Lebanon,Zone B2,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.81,USD,
Laos,Zone B2,heavy-tools,重量,<2000,27.21 ,USD,
Laos,Zone B2,heavy-tools,每增加基础计费,>2000,27.21+ceil((重量-2000)/10)*1.68,USD,
Kyrgyzstan,Zone B2,heavy-tools,重量,<2000,22.35 ,USD,
Kyrgyzstan,Zone B2,heavy-tools,每增加基础计费,>2000,22.35+ceil((重量-2000)/10)*1.34,USD,
Kazakhstan,Zone B2,heavy-tools,重量,<2000,22.35 ,USD,
Kazakhstan,Zone B2,heavy-tools,每增加基础计费,>2000,22.35+ceil((重量-2000)/10)*1.34,USD,
Indonesia,Zone B2,heavy-tools,重量,<2000,15.29 ,USD,
Indonesia,Zone B2,heavy-tools,每增加基础计费,>2000,15.29+ceil((重量-2000)/10)*1.25,USD,
India,Zone B2,heavy-tools,重量,<2000,13.68 ,USD,
India,Zone B2,heavy-tools,每增加基础计费,>2000,13.68+ceil((重量-2000)/10)*1.1,USD,
Honduras,Zone B2,heavy-tools,重量,<2000,26.47 ,USD,
Honduras,Zone B2,heavy-tools,每增加基础计费,>2000,26.47+ceil((重量-2000)/10)*1.72,USD,
Guatemala,Zone B2,heavy-tools,重量,<2000,26.47 ,USD,
Guatemala,Zone B2,heavy-tools,每增加基础计费,>2000,26.47+ceil((重量-2000)/10)*1.72,USD,
El Salvador,Zone B2,heavy-tools,重量,<2000,25.29 ,USD,
El Salvador,Zone B2,heavy-tools,每增加基础计费,>2000,25.29+ceil((重量-2000)/10)*1.71,USD,
Egypt,Zone B2,heavy-tools,重量,<2000,22.06 ,USD,
Egypt,Zone B2,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.54,USD,
Ecuador,Zone B2,heavy-tools,重量,<2000,25.29 ,USD,
Ecuador,Zone B2,heavy-tools,每增加基础计费,>2000,25.29+ceil((重量-2000)/10)*1.71,USD,
Dominican Republic,Zone B2,heavy-tools,重量,<2000,25.29 ,USD,
Dominican Republic,Zone B2,heavy-tools,每增加基础计费,>2000,25.29+ceil((重量-2000)/10)*1.71,USD,
Colombia,Zone B2,heavy-tools,重量,<2000,18.53 ,USD,
Colombia,Zone B2,heavy-tools,每增加基础计费,>2000,18.53+ceil((重量-2000)/10)*1.43,USD,
Cambodia,Zone B2,heavy-tools,重量,<2000,16.76 ,USD,
Cambodia,Zone B2,heavy-tools,每增加基础计费,>2000,16.76+ceil((重量-2000)/10)*1.21,USD,
Brunei Darussalam,Zone B2,heavy-tools,重量,<2000,15.29 ,USD,
Brunei Darussalam,Zone B2,heavy-tools,每增加基础计费,>2000,15.29+ceil((重量-2000)/10)*1.24,USD,
Bosnia And Herzegovina,Zone B2,heavy-tools,重量,<2000,19.26 ,USD,
Bosnia And Herzegovina,Zone B2,heavy-tools,每增加基础计费,>2000,19.26+ceil((重量-2000)/10)*1.37,USD,
Bolivia,Zone B2,heavy-tools,重量,<2000,34.41 ,USD,
Bolivia,Zone B2,heavy-tools,每增加基础计费,>2000,34.41+ceil((重量-2000)/10)*2.18,USD,
Belize,Zone B2,heavy-tools,重量,<2000,26.47 ,USD,
Belize,Zone B2,heavy-tools,每增加基础计费,>2000,26.47+ceil((重量-2000)/10)*1.72,USD,
Bangladesh,Zone B2,heavy-tools,重量,<2000,21.76 ,USD,
Bangladesh,Zone B2,heavy-tools,每增加基础计费,>2000,21.76+ceil((重量-2000)/10)*1.19,USD,
Azerbaijan,Zone B2,heavy-tools,重量,<2000,21.18 ,USD,
Azerbaijan,Zone B2,heavy-tools,每增加基础计费,>2000,21.18+ceil((重量-2000)/10)*1.81,USD,
Armenia,Zone B2,heavy-tools,重量,<2000,22.06 ,USD,
Armenia,Zone B2,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.84,USD,
Albania,Zone B2,heavy-tools,重量,<2000,22.06 ,USD,
Albania,Zone B2,heavy-tools,每增加基础计费,>2000,22.06+ceil((重量-2000)/10)*1.62,USD,
