,Zone,Shipping Class,,,˷,Currency,
United States,Zone A,no-free-ship,,<100,8.38 ,USD,
United States,Zone A,no-free-ship,,<50,7.50 ,USD,
United Kingdom,Zone A,no-free-ship,,<100,5.15 ,USD,
United Kingdom,Zone A,no-free-ship,,<50,4.41 ,USD,
Sweden,Zone A,no-free-ship,,<100,3.53 ,USD,
Sweden,Zone A,no-free-ship,,<50,2.94 ,USD,
Spain,Zone A,no-free-ship,,<100,3.68 ,USD,
Spain,Zone A,no-free-ship,,<50,3.16 ,USD,
Slovenia,Zone A,no-free-ship,,<100,3.97 ,USD,
Slovenia,Zone A,no-free-ship,,<50,3.38 ,USD,
Slovakia,Zone A,no-free-ship,,<100,3.53 ,USD,
Slovakia,Zone A,no-free-ship,,<50,2.79 ,USD,
Singapore,Zone A,no-free-ship,,<100,2.35 ,USD,
Singapore,Zone A,no-free-ship,,<50,2.13 ,USD,
Romania,Zone A,no-free-ship,,<100,4.85 ,USD,
Romania,Zone A,no-free-ship,,<50,4.34 ,USD,
Republic of Korea,Zone A,no-free-ship,,<100,2.06 ,USD,
Republic of Korea,Zone A,no-free-ship,,<50,1.91 ,USD,
Portugal,Zone A,no-free-ship,,<100,5.15 ,USD,
Portugal,Zone A,no-free-ship,,<50,4.41 ,USD,
Netherlands,Zone A,no-free-ship,,<100,4.41 ,USD,
Netherlands,Zone A,no-free-ship,,<50,3.09 ,USD,
Monaco,Zone A,no-free-ship,,<100,5.15 ,USD,
Monaco,Zone A,no-free-ship,,<50,4.41 ,USD,
Mexico,Zone A,no-free-ship,,<100,3.68 ,USD,
Mexico,Zone A,no-free-ship,,<50,2.72 ,USD,
Malta,Zone A,no-free-ship,,<100,3.53 ,USD,
Malta,Zone A,no-free-ship,,<50,2.21 ,USD,
Luxembourg,Zone A,no-free-ship,,<100,5.15 ,USD,
Luxembourg,Zone A,no-free-ship,,<50,4.56 ,USD,
Lithuania,Zone A,no-free-ship,,<100,2.79 ,USD,
Lithuania,Zone A,no-free-ship,,<50,2.28 ,USD,
Latvia,Zone A,no-free-ship,,<100,2.79 ,USD,
Latvia,Zone A,no-free-ship,,<50,2.28 ,USD,
Japan,Zone A,no-free-ship,,<100,3.24 ,USD,
Japan,Zone A,no-free-ship,,<50,2.87 ,USD,
Italy,Zone A,no-free-ship,,<100,4.85 ,USD,
Italy,Zone A,no-free-ship,,<50,4.34 ,USD,
Ireland,Zone A,no-free-ship,,<100,5.00 ,USD,
Ireland,Zone A,no-free-ship,,<50,4.49 ,USD,
Hungary,Zone A,no-free-ship,,<100,3.82 ,USD,
Hungary,Zone A,no-free-ship,,<50,3.24 ,USD,
Greece,Zone A,no-free-ship,,<100,3.82 ,USD,
Greece,Zone A,no-free-ship,,<50,3.16 ,USD,
Germany,Zone A,no-free-ship,,<100,4.26 ,USD,
Germany,Zone A,no-free-ship,,<50,3.75 ,USD,
France,Zone A,no-free-ship,,<100,3.97 ,USD,
France,Zone A,no-free-ship,,<50,3.38 ,USD,
Finland,Zone A,no-free-ship,,<100,4.41 ,USD,
Finland,Zone A,no-free-ship,,<50,2.65 ,USD,
Estonia,Zone A,no-free-ship,,<100,2.79 ,USD,
Estonia,Zone A,no-free-ship,,<50,2.28 ,USD,
Denmark,Zone A,no-free-ship,,<100,5.29 ,USD,
Denmark,Zone A,no-free-ship,,<50,4.71 ,USD,
Czech Republic,Zone A,no-free-ship,,<100,3.82 ,USD,
Czech Republic,Zone A,no-free-ship,,<50,3.09 ,USD,
Cyprus,Zone A,no-free-ship,,<100,4.85 ,USD,
Cyprus,Zone A,no-free-ship,,<50,3.90 ,USD,
Croatia,Zone A,no-free-ship,,<100,3.82 ,USD,
Croatia,Zone A,no-free-ship,,<50,3.24 ,USD,
Canada,Zone A,no-free-ship,,<100,4.12 ,USD,
Canada,Zone A,no-free-ship,,<50,3.53 ,USD,
Belgium,Zone A,no-free-ship,,<100,5.29 ,USD,
Belgium,Zone A,no-free-ship,,<50,4.85 ,USD,
Austria,Zone A,no-free-ship,,<100,5.15 ,USD,
Austria,Zone A,no-free-ship,,<50,4.63 ,USD,
Australia,Zone A,no-free-ship,,<100,4.85 ,USD,
Australia,Zone A,no-free-ship,,<50,4.26 ,USD,
Australia,Zone A,small-light,,<39,12.90 ,USD,
Belgium,Zone A,small-light,,<39,12.90 ,USD,
Canada,Zone A,small-light,,<39,12.90 ,USD,
France,Zone A,small-light,,<39,12.90 ,USD,
Germany,Zone A,small-light,,<39,12.90 ,USD,
Italy,Zone A,small-light,,<39,12.90 ,USD,
Japan,Zone A,small-light,,<39,12.90 ,USD,
Mexico,Zone A,small-light,,<39,12.90 ,USD,
Netherlands,Zone A,small-light,,<39,12.90 ,USD,
Portugal,Zone A,small-light,,<39,12.90 ,USD,
Republic of Korea,Zone A,small-light,,<39,12.90 ,USD,
Singapore,Zone A,small-light,,<39,12.90 ,USD,
Spain,Zone A,small-light,,<39,12.90 ,USD,
United Kingdom,Zone A,small-light,,<39,12.90 ,USD,
United States,Zone A,small-light,,<39,12.90 ,USD,
Austria,Zone A,small-light,,<39,12.90 ,USD,
Croatia,Zone A,small-light,,<39,12.90 ,USD,
Cyprus,Zone A,small-light,,<39,12.90 ,USD,
Czech Republic,Zone A,small-light,,<39,12.90 ,USD,
Denmark,Zone A,small-light,,<39,12.90 ,USD,
Estonia,Zone A,small-light,,<39,12.90 ,USD,
Finland,Zone A,small-light,,<39,12.90 ,USD,
Greece,Zone A,small-light,,<39,12.90 ,USD,
Hungary,Zone A,small-light,,<39,12.90 ,USD,
Ireland,Zone A,small-light,,<39,12.90 ,USD,
Latvia,Zone A,small-light,,<39,12.90 ,USD,
Lithuania,Zone A,small-light,,<39,12.90 ,USD,
Luxembourg,Zone A,small-light,,<39,12.90 ,USD,
Malta,Zone A,small-light,,<39,12.90 ,USD,
Monaco,Zone A,small-light,,<39,12.90 ,USD,
Romania,Zone A,small-light,,<39,12.90 ,USD,
Slovakia,Zone A,small-light,,<39,12.90 ,USD,
Slovenia,Zone A,small-light,,<39,12.90 ,USD,
Sweden,Zone A,small-light,,<39,12.90 ,USD,
Australia,Zone A,small-light,,<99,6.90 ,USD,
Belgium,Zone A,small-light,,<99,6.90 ,USD,
Canada,Zone A,small-light,,<99,6.90 ,USD,
France,Zone A,small-light,,<99,6.90 ,USD,
Germany,Zone A,small-light,,<99,6.90 ,USD,
Italy,Zone A,small-light,,<99,6.90 ,USD,
Japan,Zone A,small-light,,<99,6.90 ,USD,
Mexico,Zone A,small-light,,<99,6.90 ,USD,
Netherlands,Zone A,small-light,,<99,6.90 ,USD,
Portugal,Zone A,small-light,,<99,6.90 ,USD,
Republic of Korea,Zone A,small-light,,<99,6.90 ,USD,
Singapore,Zone A,small-light,,<99,6.90 ,USD,
Spain,Zone A,small-light,,<99,6.90 ,USD,
United Kingdom,Zone A,small-light,,<99,6.90 ,USD,
United States,Zone A,small-light,,<99,6.90 ,USD,
Austria,Zone A,small-light,,<99,6.90 ,USD,
Croatia,Zone A,small-light,,<99,6.90 ,USD,
Cyprus,Zone A,small-light,,<99,6.90 ,USD,
Czech Republic,Zone A,small-light,,<99,6.90 ,USD,
Denmark,Zone A,small-light,,<99,6.90 ,USD,
Estonia,Zone A,small-light,,<99,6.90 ,USD,
Finland,Zone A,small-light,,<99,6.90 ,USD,
Greece,Zone A,small-light,,<99,6.90 ,USD,
Hungary,Zone A,small-light,,<99,6.90 ,USD,
Ireland,Zone A,small-light,,<99,6.90 ,USD,
Latvia,Zone A,small-light,,<99,6.90 ,USD,
Lithuania,Zone A,small-light,,<99,6.90 ,USD,
Luxembourg,Zone A,small-light,,<99,6.90 ,USD,
Malta,Zone A,small-light,,<99,6.90 ,USD,
Monaco,Zone A,small-light,,<99,6.90 ,USD,
Romania,Zone A,small-light,,<99,6.90 ,USD,
Slovakia,Zone A,small-light,,<99,6.90 ,USD,
Slovenia,Zone A,small-light,,<99,6.90 ,USD,
Sweden,Zone A,small-light,,<99,6.90 ,USD,
Australia,Zone A,small-light,,>99,0.00 ,USD,
Belgium,Zone A,small-light,,>99,0.00 ,USD,
Canada,Zone A,small-light,,>99,0.00 ,USD,
France,Zone A,small-light,,>99,0.00 ,USD,
Germany,Zone A,small-light,,>99,0.00 ,USD,
Italy,Zone A,small-light,,>99,0.00 ,USD,
Japan,Zone A,small-light,,>99,0.00 ,USD,
Mexico,Zone A,small-light,,>99,0.00 ,USD,
Netherlands,Zone A,small-light,,>99,0.00 ,USD,
Portugal,Zone A,small-light,,>99,0.00 ,USD,
Republic of Korea,Zone A,small-light,,>99,0.00 ,USD,
Singapore,Zone A,small-light,,>99,0.00 ,USD,
Spain,Zone A,small-light,,>99,0.00 ,USD,
United Kingdom,Zone A,small-light,,>99,0.00 ,USD,
United States,Zone A,small-light,,>99,0.00 ,USD,
Austria,Zone A,small-light,,>99,0.00 ,USD,
